NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Russell Westbrook,Den,*,G,36.3,53,27.3,22.8,22.9,163,0.638,362,0.533,186,0.328,0.519,0.543,12.7,5,6.2,1.4,0.5,3.1,17.7,18.9,23.8,10.7,106.5,107.9
Bilal Coulibaly,Was,*,G,20.6,55,33.4,17.9,16.5,176,0.75,374,0.503,218,0.28,0.472,0.516,12.6,5,3.5,1.3,0.7,2.1,17.5,16.1,21.1,7.2,103,116.3
Scoot Henderson,Por,*,G,21.1,52,26.5,22,21,159,0.786,293,0.481,223,0.368,0.512,0.557,12.6,3,5.3,1.2,0.3,2.6,15.5,17.8,20.8,8.8,109.1,109.7
Khris Middleton,Mil,,F,33.6,23,23.2,21.9,14.9,46,0.848,125,0.584,86,0.407,0.595,0.627,12.6,3.7,4.4,0.7,0.2,1.6,16.3,17,20.7,10.2,120.9,105.2
Onyeka Okongwu,Atl,*,F-C,24.2,53,26,17.3,11.2,153,0.732,373,0.638,87,0.287,0.599,0.629,12.5,8.1,2.2,0.8,0.9,1.1,20.6,14.7,22.9,9.3,127.9,108
D'Angelo Russell,Lal,,G,29,29,26.3,22.1,13.8,53,0.849,143,0.51,168,0.333,0.505,0.537,12.4,2.8,4.7,0.8,0.1,1.7,15.1,17,19.8,8.3,108.9,110.6
Keegan Murray,Sac,*,F,24.5,56,34.7,14.8,7.4,61,0.82,283,0.562,319,0.332,0.528,0.545,12.3,6.9,1.4,0.8,0.9,0.9,19.2,13.7,20.6,5.7,114.6,111.2
Ayo Dosunmu,Chi,*,G,25.1,46,30.3,16.6,13.3,79,0.785,260,0.612,189,0.328,0.561,0.585,12.3,3.5,4.5,0.9,0.4,1.5,15.8,16.8,20.3,7.6,116.8,114.2
Daniel Gafford,Dal,*,F-C,26.4,51,21.9,19.1,14.4,173,0.699,362,0.699,0,0,0.699,0.716,12.3,6.9,1.4,0.4,1.9,1.2,19.2,13.7,20.6,9,136.7,103.9
Jaden McDaniels,Min,*,F,24.4,61,32.4,16.1,10.3,105,0.829,383,0.554,237,0.325,0.528,0.557,12.2,5.9,1.9,1.4,0.8,1.2,18,14,19.9,6.4,113.8,104.8
Keldon Johnson,San,*,F-G,25.4,55,23.6,21,8.5,142,0.754,336,0.565,193,0.321,0.535,0.569,12.2,4.5,1.5,0.6,0.2,0.9,16.7,13.7,18.1,7.4,114.6,112.7
Daeqwon Plowden,Atl,*,G-F,26.5,2,16.4,14.8,8.7,2,1,2,1,8,0.75,1.1,1.103,12,2.5,0,0,0,0.5,14.5,12,14.5,0,177,107.3
Corey Kispert,Was,*,F,26,54,26.6,17.5,10.7,71,0.859,214,0.57,297,0.374,0.565,0.588,11.8,3,1.7,0.5,0.2,1.1,14.9,13.5,16.5,5.9,111.8,119.1
Ty Jerome,Cle,*,G-F,27.7,55,19.2,22.9,13.1,101,0.881,264,0.568,192,0.448,0.612,0.646,11.8,2.5,3.3,1.2,0,1.3,14.3,15.1,17.6,9.6,128.2,106.8
Moses Brown,Dal,*,C,25.4,4,18.3,21.4,14.5,6,0.833,29,0.724,0,0,0.724,0.743,11.8,7.8,0.5,1,0.8,1.3,19.5,12.3,20,7.8,129.9,94.8
Terry Rozier,Mia,*,G,31,50,27.5,20.7,10.9,92,0.859,287,0.491,252,0.306,0.476,0.511,11.8,4,2.8,0.6,0.3,1.3,15.8,14.6,18.6,7.4,104.3,112.8
Zach Collins,Chi,*,F-C,27.3,6,25.1,17.3,11.2,21,0.857,29,0.69,18,0.222,0.553,0.622,11.7,8.5,2.8,1,0.5,1,20.2,14.5,23,10.4,135.3,108.9
Alexandre Sarr,Was,*,C,19.9,44,26.8,21,11,95,0.621,279,0.455,212,0.311,0.46,0.48,11.6,6.5,2.2,0.7,1.5,1.4,18.2,13.8,20.4,8.2,99.5,112.9
Tari Eason,Hou,*,F,23.8,39,24.4,18.9,9.9,77,0.753,245,0.547,118,0.356,0.543,0.569,11.6,6.2,1.2,1.9,0.9,1,17.8,12.8,19,7.2,117.9,99.3
Jabari Smith Jr.,Hou,*,F,21.8,38,30.9,15.4,10.2,83,0.855,179,0.497,182,0.346,0.508,0.551,11.5,6.6,1,0.3,0.9,1.1,18.2,12.5,19.1,5.5,114.7,106.5
Jonas Valanciunas,Was,,C,32.8,49,20,23.7,17.2,106,0.896,395,0.567,27,0.259,0.556,0.602,11.5,8.2,2.2,0.4,0.6,1.8,19.8,13.7,22,11.8,114.8,108.3
Jaylen Wells,Mem,*,F,21.5,60,26,16.3,9.3,102,0.824,235,0.54,300,0.383,0.56,0.589,11.4,3.2,1.6,0.6,0.1,0.9,14.6,13,16.2,6,119.8,112.1
Zaccharie Risacher,Atl,*,F,19.9,53,24.2,20.4,10.5,115,0.713,304,0.493,222,0.333,0.496,0.524,11.4,3.7,1.3,0.8,0.5,1.2,15.1,12.7,16.4,6.3,104.2,112.1
Walker Kessler,Uta,*,C,23.6,46,30.4,13.1,17.6,126,0.548,307,0.733,7,0.286,0.726,0.711,11.4,12.1,1.6,0.6,2.3,1.5,23.5,13,25.2,8,133.9,112
Jeremy Sochan,San,*,F,21.8,39,25.7,18.4,15.7,89,0.697,272,0.596,60,0.333,0.578,0.601,11.4,7.1,2.5,0.9,0.5,1.6,18.5,13.9,21,9.1,117.4,107.5
Aaron Wiggins,Okc,*,G,26.2,59,22.3,19.3,8.7,58,0.862,280,0.6,244,0.389,0.593,0.611,11.4,3.7,1.6,0.8,0.3,0.8,15.1,13,16.7,7.3,121.4,106.8
Buddy Hield,Gol,*,G,32.2,60,23.2,20.8,10.6,48,0.813,188,0.516,412,0.364,0.537,0.55,11.4,3.2,1.7,0.9,0.3,1.2,14.6,13.1,16.3,6.8,106,109.1
Harrison Barnes,San,*,F,32.8,58,27.4,14.9,6.4,143,0.797,234,0.56,230,0.413,0.589,0.627,11.4,4,1.7,0.3,0.2,0.6,15.4,13.1,17.2,6.2,129.5,117.8
Jalen Duren,Det,*,C,21.3,58,25.7,15.9,21.6,158,0.69,385,0.699,0,0,0.699,0.712,11.2,10.3,2.6,0.7,1.2,1.8,21.5,13.8,24.1,10.4,131.4,100.1
Naji Marshall,Dal,*,F,27.1,48,25,18.7,14.2,85,0.847,272,0.603,146,0.288,0.543,0.578,11,4.1,2.6,1,0.1,1.4,15.1,13.6,17.7,7.8,113.6,111.7
Donte DiVincenzo,Min,*,G,28.1,42,26.3,19,15.1,50,0.82,98,0.459,295,0.373,0.534,0.555,11,3.8,3.7,1.2,0.2,1.7,14.8,14.7,18.5,8.2,110.5,108.5
Rudy Gobert,Min,*,C,32.7,55,33.3,12.3,17.2,197,0.68,360,0.653,0,0,0.653,0.676,11,10.4,1.8,0.7,1.5,1.4,21.4,12.8,23.2,7.1,132.9,105.8
Khris Middleton,Was,*,F,33.6,4,24.6,21.1,20.7,15,0.867,20,0.55,14,0.214,0.456,0.542,11,4.3,4.5,1.3,0.5,2.3,15.3,15.5,19.8,9.7,105.8,111.6
Duncan Robinson,Mia,*,F,30.9,55,24.2,19.2,11.8,40,0.9,136,0.559,358,0.383,0.57,0.585,10.9,2.4,2.7,0.5,0.1,1.2,13.3,13.5,15.9,6.8,111.7,110.1
Isaiah Hartenstein,Okc,*,C-F,26.8,39,28.3,16.7,17.4,85,0.647,314,0.592,14,0,0.567,0.584,10.9,11.4,3.9,0.8,1.1,1.8,22.4,14.9,26.3,11.1,121.6,95.4
Jordan Hawkins,Nor,*,G,22.8,42,23.2,21.2,8.5,75,0.84,179,0.43,240,0.329,0.467,0.502,10.8,2.6,1.1,0.6,0.5,0.9,13.4,12,14.5,5.4,101.2,121.4
Grayson Allen,Pho,*,G,29.4,48,25,17.1,12.1,82,0.817,97,0.485,279,0.427,0.6,0.629,10.8,3.3,2.1,0.9,0.3,1.1,14.1,12.9,16.2,6.7,119,115.6
Jrue Holiday,Bos,*,G,34.7,47,30.1,16,13,60,0.9,190,0.558,237,0.342,0.533,0.561,10.8,4.3,3.7,1,0.4,1.4,15.1,14.5,18.8,7.4,117.2,109.7
Nikola Jovic,Mia,*,F,21.7,46,25.1,18.2,13.7,87,0.828,168,0.56,210,0.371,0.558,0.593,10.7,3.9,2.8,0.8,0.3,1.3,14.7,13.6,17.5,7.8,115.1,109.1
Brandon Boston Jr.,Nor,*,G,23.3,42,23.6,19.9,12,85,0.788,241,0.485,140,0.35,0.5,0.535,10.7,3.2,2.2,1.3,0.2,1.2,13.9,12.9,16,7.2,107.1,114.9
Guerschon Yabusele,Phi,*,F,29.2,55,26.3,16.4,14.1,99,0.747,214,0.612,211,0.403,0.608,0.631,10.7,5.5,2,0.8,0.4,1.3,16.3,12.7,18.3,7.5,122.4,110.2
Toumani Camara,Por,*,F,24.8,58,32.5,13.9,14.9,91,0.758,260,0.538,237,0.371,0.547,0.571,10.6,5.9,2.1,1.5,0.6,1.5,16.5,12.7,18.6,6.3,114.4,109.5
Kevin Huerter,Chi,*,G-F,26.5,8,24.7,19.1,8,7,0.714,24,0.292,56,0.393,0.5,0.512,10.6,2.4,2.4,1.1,0.1,0.9,13,13,15.4,6.4,105.2,114.1
